work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,Mid-Level,Full-time,Data Scientist,70000,EUR,79833,Germany,No Remote Work,Germany,LARGE
2020,Senior-Level,Full-time,Machine Learning Scientist,260000,USD,260000,Japan,No Remote Work,Japan,SMALL
2020,Senior-Level,Full-time,Big Data Engineer,85000,GBP,109024,United Kingdom,Partially Remote,United Kingdom,MEDIUM
2020,Mid-Level,Full-time,Product Data Analyst,20000,USD,20000,Honduras,No Remote Work,Honduras,SMALL
2020,Senior-Level,Full-time,Machine Learning Engineer,150000,USD,150000,United States,Partially Remote,United States,LARGE
2020,Entry-Level,Full-time,Data Analyst,72000,USD,72000,United States,Fully Remote,United States,LARGE
2020,Senior-Level,Full-time,Lead Data Scientist,190000,USD,190000,United States,Fully Remote,United States,SMALL
2020,Mid-Level,Full-time,Data Scientist,11000000,HUF,35735,Hungary,Partially Remote,Hungary,LARGE
2020,Mid-Level,Full-time,Business Data Analyst,135000,USD,135000,United States,Fully Remote,United States,LARGE
2020,Senior-Level,Full-time,Lead Data Engineer,125000,USD,125000,New Zealand,Partially Remote,New Zealand,SMALL
2020,Entry-Level,Full-time,Data Scientist,45000,EUR,51321,France,No Remote Work,France,SMALL
2020,Mid-Level,Full-time,Data Scientist,3000000,INR,40481,India,No Remote Work,India,LARGE
2020,Entry-Level,Full-time,Data Scientist,35000,EUR,39916,France,No Remote Work,France,MEDIUM
2020,Mid-Level,Full-time,Lead Data Analyst,87000,USD,87000,United States,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Analyst,85000,USD,85000,United States,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Analyst,8000,USD,8000,Pakistan,Partially Remote,Pakistan,LARGE
2020,Entry-Level,Full-time,Data Engineer,4450000,JPY,41689,Japan,Fully Remote,Japan,SMALL
2020,Senior-Level,Full-time,Big Data Engineer,100000,EUR,114047,Poland,Fully Remote,United Kingdom,SMALL
2020,Entry-Level,Full-time,Data Science Consultant,423000,INR,5707,India,Partially Remote,India,MEDIUM
2020,Mid-Level,Full-time,Lead Data Engineer,56000,USD,56000,Portugal,Fully Remote,United States,MEDIUM
2020,Mid-Level,Full-time,Machine Learning Engineer,299000,CNY,43331,China,No Remote Work,China,MEDIUM
2020,Mid-Level,Full-time,Product Data Analyst,450000,INR,6072,India,Fully Remote,India,LARGE
2020,Senior-Level,Full-time,Data Engineer,42000,EUR,47899,Greece,Partially Remote,Greece,LARGE
2020,Mid-Level,Full-time,BI Data Analyst,98000,USD,98000,United States,No Remote Work,United States,MEDIUM
2020,Mid-Level,Full-time,Lead Data Scientist,115000,USD,115000,United Arab Emirates,No Remote Work,United Arab Emirates,LARGE
2020,Executive-Level,Full-time,Director of Data Science,325000,USD,325000,United States,Fully Remote,United States,LARGE
2020,Entry-Level,Full-time,Research Scientist,42000,USD,42000,Netherlands,Partially Remote,Netherlands,LARGE
2020,Senior-Level,Full-time,Data Engineer,720000,MXN,33511,Mexico,No Remote Work,Mexico,SMALL
2020,Entry-Level,Contract,Business Data Analyst,100000,USD,100000,United States,Fully Remote,United States,LARGE
2020,Senior-Level,Full-time,Machine Learning Manager,157000,CAD,117104,Canada,Partially Remote,Canada,LARGE
2020,Mid-Level,Full-time,Data Engineering Manager,51999,EUR,59303,Germany,Fully Remote,Germany,SMALL
2020,Entry-Level,Full-time,Big Data Engineer,70000,USD,70000,United States,Fully Remote,United States,LARGE
2020,Senior-Level,Full-time,Data Scientist,60000,EUR,68428,Greece,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Research Scientist,450000,USD,450000,United States,No Remote Work,United States,MEDIUM
2020,Mid-Level,Full-time,Data Analyst,41000,EUR,46759,France,Partially Remote,France,LARGE
2020,Mid-Level,Full-time,Data Engineer,65000,EUR,74130,Austria,Partially Remote,Austria,LARGE
2020,Mid-Level,Full-time,Data Science Consultant,103000,USD,103000,United States,Fully Remote,United States,LARGE
2020,Entry-Level,Full-time,Machine Learning Engineer,250000,USD,250000,United States,Partially Remote,United States,LARGE
2020,Entry-Level,Full-time,Data Analyst,10000,USD,10000,Nigeria,Fully Remote,Nigeria,SMALL
2020,Entry-Level,Full-time,Machine Learning Engineer,138000,USD,138000,United States,Fully Remote,United States,SMALL
2020,Mid-Level,Full-time,Data Scientist,45760,USD,45760,Philippines,Fully Remote,United States,SMALL
2020,Executive-Level,Full-time,Data Engineering Manager,70000,EUR,79833,Spain,Partially Remote,Spain,LARGE
2020,Mid-Level,Full-time,Machine Learning Infrastructure Engineer,44000,EUR,50180,Portugal,No Remote Work,Portugal,MEDIUM
2020,Mid-Level,Full-time,Data Engineer,106000,USD,106000,United States,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Engineer,88000,GBP,112872,United Kingdom,Partially Remote,United Kingdom,LARGE
2020,Entry-Level,Part-time,ML Engineer,14000,EUR,15966,Germany,Fully Remote,Germany,SMALL
2020,Mid-Level,Full-time,Data Scientist,60000,GBP,76958,United Kingdom,Fully Remote,United Kingdom,SMALL
2020,Senior-Level,Full-time,Data Engineer,188000,USD,188000,United States,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Scientist,105000,USD,105000,United States,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Engineer,61500,EUR,70139,France,Partially Remote,France,LARGE
2020,Entry-Level,Full-time,Data Analyst,450000,INR,6072,India,No Remote Work,India,SMALL
2020,Entry-Level,Full-time,Data Analyst,91000,USD,91000,United States,Fully Remote,United States,LARGE
2020,Entry-Level,Full-time,AI Scientist,300000,DKK,45896,Denmark,Partially Remote,Denmark,SMALL
2020,Entry-Level,Full-time,Data Engineer,48000,EUR,54742,Pakistan,Fully Remote,Germany,LARGE
2020,Senior-Level,Freelance,Computer Vision Engineer,60000,USD,60000,Russia,Fully Remote,United States,SMALL
2020,Senior-Level,Full-time,Principal Data Scientist,130000,EUR,148261,Germany,Fully Remote,Germany,MEDIUM
2020,Mid-Level,Full-time,Data Scientist,34000,EUR,38776,Spain,Fully Remote,Spain,MEDIUM
2020,Mid-Level,Full-time,Data Scientist,118000,USD,118000,United States,Fully Remote,United States,MEDIUM
2020,Senior-Level,Full-time,Data Scientist,120000,USD,120000,United States,Partially Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Scientist,138350,USD,138350,United States,Fully Remote,United States,MEDIUM
2020,Mid-Level,Full-time,Data Engineer,110000,USD,110000,United States,Fully Remote,United States,LARGE
2020,Mid-Level,Full-time,Data Engineer,130800,USD,130800,Spain,Fully Remote,United States,MEDIUM
2020,Entry-Level,Part-time,Data Scientist,19000,EUR,21669,Italy,Partially Remote,Italy,SMALL
2020,Senior-Level,Full-time,Data Scientist,412000,USD,412000,United States,Fully Remote,United States,LARGE
2020,Senior-Level,Full-time,Machine Learning Engineer,40000,EUR,45618,Croatia,Fully Remote,Croatia,SMALL
2020,Entry-Level,Full-time,Data Scientist,55000,EUR,62726,Germany,Partially Remote,Germany,SMALL
2020,Entry-Level,Full-time,Data Scientist,43200,EUR,49268,Germany,No Remote Work,Germany,SMALL
2020,Senior-Level,Full-time,Data Science Manager,190200,USD,190200,United States,Fully Remote,United States,MEDIUM
2020,Entry-Level,Full-time,Data Scientist,105000,USD,105000,United States,Fully Remote,United States,SMALL
2020,Senior-Level,Full-time,Data Scientist,80000,EUR,91237,Austria,No Remote Work,Austria,SMALL
2020,Mid-Level,Full-time,Data Scientist,55000,EUR,62726,France,Partially Remote,Luxembourg,SMALL
2020,Mid-Level,Full-time,Data Scientist,37000,EUR,42197,France,Partially Remote,France,SMALL
2021,Entry-Level,Full-time,Research Scientist,60000,GBP,82528,United Kingdom,Partially Remote,United Kingdom,LARGE
2021,Executive-Level,Full-time,BI Data Analyst,150000,USD,150000,India,Fully Remote,United States,LARGE
2021,Executive-Level,Full-time,Head of Data,235000,USD,235000,United States,Fully Remote,United States,LARGE
2021,Senior-Level,Full-time,Data Scientist,45000,EUR,53192,France,Partially Remote,France,LARGE
2021,Mid-Level,Full-time,BI Data Analyst,100000,USD,100000,United States,Fully Remote,United States,MEDIUM
2021,Mid-Level,Part-time,3D Computer Vision Researcher,400000,INR,5409,India,Partially Remote,India,MEDIUM
2021,Mid-Level,Contract,ML Engineer,270000,USD,270000,United States,Fully Remote,United States,LARGE
2021,Entry-Level,Full-time,Data Analyst,80000,USD,80000,United States,Fully Remote,United States,MEDIUM
2021,Senior-Level,Full-time,Data Analytics Engineer,67000,EUR,79197,Germany,Fully Remote,Germany,LARGE
2021,Mid-Level,Full-time,Data Engineer,140000,USD,140000,United States,Fully Remote,United States,LARGE
2021,Mid-Level,Full-time,Applied Data Scientist,68000,CAD,54238,United Kingdom,Partially Remote,Canada,LARGE
2021,Mid-Level,Full-time,Machine Learning Engineer,40000,EUR,47282,Spain,Fully Remote,Spain,SMALL
2021,Executive-Level,Full-time,Director of Data Science,130000,EUR,153667,Italy,Fully Remote,Poland,LARGE
2021,Mid-Level,Full-time,Data Engineer,110000,PLN,28476,Poland,Fully Remote,Poland,LARGE
2021,Entry-Level,Full-time,Data Analyst,50000,EUR,59102,France,Partially Remote,France,MEDIUM
2021,Mid-Level,Full-time,Data Analytics Engineer,110000,USD,110000,United States,Fully Remote,United States,LARGE
2021,Senior-Level,Full-time,Lead Data Analyst,170000,USD,170000,United States,Fully Remote,United States,LARGE
2021,Senior-Level,Full-time,Data Analyst,80000,USD,80000,Bulgaria,Fully Remote,United States,SMALL
2021,Senior-Level,Full-time,Marketing Data Analyst,75000,EUR,88654,Greece,Fully Remote,Denmark,LARGE
2021,Entry-Level,Full-time,Data Science Consultant,65000,EUR,76833,Germany,Fully Remote,Germany,SMALL
2021,Mid-Level,Full-time,Lead Data Analyst,1450000,INR,19609,India,Fully Remote,India,LARGE
2021,Senior-Level,Full-time,Lead Data Engineer,276000,USD,276000,United States,No Remote Work,United States,LARGE
2021,Entry-Level,Full-time,Data Scientist,2200000,INR,29751,India,Partially Remote,India,LARGE
2021,Mid-Level,Full-time,Cloud Data Engineer,120000,SGD,89294,Singapore,Partially Remote,Singapore,LARGE
2021,Entry-Level,Part-time,AI Scientist,12000,USD,12000,Brazil,Fully Remote,United States,SMALL
2021,Mid-Level,Full-time,Financial Data Analyst,450000,USD,450000,United States,Fully Remote,United States,LARGE
2021,Entry-Level,Full-time,Computer Vision Software Engineer,70000,USD,70000,United States,Fully Remote,United States,MEDIUM
2021,Mid-Level,Full-time,Computer Vision Software Engineer,81000,EUR,95746,Germany,Fully Remote,United States,SMALL
2021,Mid-Level,Full-time,Data Analyst,75000,USD,75000,United States,No Remote Work,United States,LARGE
2021,Senior-Level,Full-time,Data Engineer,150000,USD,150000,United States,Fully Remote,United States,LARGE
2021,Mid-Level,Full-time,BI Data Analyst,11000000,HUF,36259,Hungary,Partially Remote,United States,LARGE
2021,Mid-Level,Full-time,Data Analyst,62000,USD,62000,United States,No Remote Work,United States,LARGE
2021,Mid-Level,Full-time,Data Scientist,73000,USD,73000,United States,No Remote Work,United States,LARGE
2021,Mid-Level,Full-time,Data Analyst,37456,GBP,51519,United Kingdom,Partially Remote,United Kingdom,LARGE
2021,Mid-Level,Full-time,Research Scientist,235000,CAD,187442,Canada,Fully Remote,Canada,LARGE
2021,Senior-Level,Full-time,Data Engineer,115000,USD,115000,United States,Fully Remote,United States,SMALL
2021,Senior-Level,Full-time,Data Engineer,150000,USD,150000,United States,Fully Remote,United States,MEDIUM
2021,Entry-Level,Full-time,Data Engineer,2250000,INR,30428,India,Fully Remote,India,LARGE
2021,Senior-Level,Full-time,Machine Learning Engineer,80000,EUR,94564,Germany,Partially Remote,Germany,LARGE
2021,Senior-Level,Full-time,Director of Data Engineering,82500,GBP,113476,United Kingdom,Fully Remote,United Kingdom,MEDIUM
2021,Senior-Level,Full-time,Lead Data Engineer,75000,GBP,103160,United Kingdom,Fully Remote,United Kingdom,SMALL
2021,Entry-Level,Part-time,AI Scientist,12000,USD,12000,Pakistan,Fully Remote,United States,MEDIUM
2021,Mid-Level,Full-time,Data Engineer,38400,EUR,45391,Netherlands,Fully Remote,Netherlands,LARGE
2021,Entry-Level,Full-time,Machine Learning Scientist,225000,USD,225000,United States,Fully Remote,United States,LARGE
2021,Mid-Level,Full-time,Data Scientist,50000,USD,50000,Nigeria,Fully Remote,Nigeria,LARGE
2021,Mid-Level,Full-time,Data Science Engineer,34000,EUR,40189,Greece,Fully Remote,Greece,MEDIUM
2021,Entry-Level,Full-time,Data Analyst,90000,USD,90000,United States,Fully Remote,United States,SMALL
2021,Mid-Level,Full-time,Data Engineer,200000,USD,200000,United States,Fully Remote,United States,LARGE
2021,Mid-Level,Full-time,Big Data Engineer,60000,USD,60000,Spain,Partially Remote,Romania,MEDIUM
2021,Senior-Level,Full-time,Principal Data Engineer,200000,USD,200000,United States,Fully Remote,United States,MEDIUM
2021,Entry-Level,Full-time,Data Analyst,50000,USD,50000,United States,Fully Remote,United States,MEDIUM
2021,Entry-Level,Full-time,Applied Data Scientist,80000,GBP,110037,United Kingdom,No Remote Work,United Kingdom,LARGE
2021,Entry-Level,Part-time,Data Analyst,8760,EUR,10354,Spain,Partially Remote,Spain,MEDIUM
2021,Mid-Level,Full-time,Principal Data Scientist,151000,USD,151000,United States,Fully Remote,United States,LARGE
2021,Senior-Level,Full-time,Machine Learning Scientist,120000,USD,120000,United States,Partially Remote,United States,SMALL
2021,Mid-Level,Full-time,Data Scientist,700000,INR,9466,India,No Remote Work,India,SMALL
2021,Entry-Level,Full-time,Machine Learning Engineer,20000,USD,20000,India,Fully Remote,India,SMALL
2021,Senior-Level,Full-time,Lead Data Scientist,3000000,INR,40570,India,Partially Remote,India,LARGE
2021,Entry-Level,Full-time,Machine Learning Developer,100000,USD,100000,Iraq,Partially Remote,Iraq,SMALL
2021,Entry-Level,Full-time,Data Scientist,42000,EUR,49646,France,Partially Remote,France,MEDIUM
2021,Mid-Level,Full-time,Applied Machine Learning Scientist,38400,USD,38400,Vietnam,Fully Remote,United States,MEDIUM
2021,Senior-Level,Full-time,Computer Vision Engineer,24000,USD,24000,Brazil,Fully Remote,Brazil,MEDIUM
2021,Entry-Level,Full-time,Data Scientist,100000,USD,100000,United States,No Remote Work,United States,SMALL
2021,Mid-Level,Full-time,Data Analyst,90000,USD,90000,United States,Fully Remote,United States,MEDIUM
2021,Mid-Level,Full-time,ML Engineer,7000000,JPY,63711,Japan,Partially Remote,Japan,SMALL
2021,Mid-Level,Full-time,ML Engineer,8500000,JPY,77364,Japan,Partially Remote,Japan,SMALL
2021,Senior-Level,Full-time,Principal Data Scientist,220000,USD,220000,United States,No Remote Work,United States,LARGE
2021,Entry-Level,Full-time,Data Scientist,80000,USD,80000,United States,Fully Remote,United States,MEDIUM
2021,Mid-Level,Full-time,Data Analyst,135000,USD,135000,United States,Fully Remote,United States,LARGE
2021,Senior-Level,Full-time,Data Science Manager,240000,USD,240000,United States,No Remote Work,United States,LARGE
2021,Senior-Level,Full-time,Data Engineering Manager,150000,USD,150000,United States,No Remote Work,United States,LARGE
2021,Mid-Level,Full-time,Data Scientist,82500,USD,82500,United States,Fully Remote,United States,SMALL
2021,Mid-Level,Full-time,Data Engineer,100000,USD,100000,United States,Fully Remote,United States,LARGE
2021,Senior-Level,Full-time,Machine Learning Engineer,70000,EUR,82744,Belgium,Partially Remote,Belgium,MEDIUM
2021,Mid-Level,Full-time,Research Scientist,53000,EUR,62649,France,Partially Remote,France,MEDIUM
2021,Mid-Level,Full-time,Data Engineer,90000,USD,90000,United States,Fully Remote,United States,LARGE
2021,Senior-Level,Full-time,Data Engineering Manager,153000,USD,153000,United States,Fully Remote,United States,LARGE
2021,Senior-Level,Full-time,Cloud Data Engineer,160000,USD,160000,Brazil,Fully Remote,United States,SMALL
2021,Senior-Level,Full-time,Director of Data Science,168000,USD,168000,Japan,No Remote Work,Japan,SMALL
2021,Mid-Level,Full-time,Data Scientist,150000,USD,150000,United States,Fully Remote,United States,MEDIUM
2021,Mid-Level,Full-time,Data Scientist,95000,CAD,75774,Canada,Fully Remote,Canada,LARGE
2021,Entry-Level,Full-time,Data Scientist,13400,USD,13400,Ukraine,Fully Remote,Ukraine,LARGE
2021,Senior-Level,Full-time,Data Science Manager,144000,USD,144000,United States,Fully Remote,United States,LARGE
2021,Senior-Level,Full-time,Data Science Engineer,159500,CAD,127221,Canada,Partially Remote,Canada,LARGE
2021,Mid-Level,Full-time,Data Scientist,160000,SGD,119059,Singapore,Fully Remote,Israel,MEDIUM
2021,Mid-Level,Full-time,Applied Machine Learning Scientist,423000,USD,423000,United States,Partially Remote,United States,LARGE
2021,Senior-Level,Full-time,Data Analytics Manager,120000,USD,120000,United States,Fully Remote,United States,MEDIUM
2021,Entry-Level,Full-time,Machine Learning Engineer,125000,USD,125000,United States,Fully Remote,United States,SMALL
2021,Executive-Level,Full-time,Head of Data,230000,USD,230000,Russia,Partially Remote,Russia,LARGE
2021,Executive-Level,Full-time,Head of Data Science,85000,USD,85000,Russia,No Remote Work,Russia,MEDIUM
2021,Mid-Level,Full-time,Data Engineer,24000,EUR,28369,Malta,Partially Remote,Malta,LARGE
2021,Entry-Level,Full-time,Data Science Consultant,54000,EUR,63831,Germany,Partially Remote,Germany,LARGE
2021,Executive-Level,Full-time,Director of Data Science,110000,EUR,130026,Germany,Partially Remote,Germany,MEDIUM
2021,Senior-Level,Full-time,Data Specialist,165000,USD,165000,United States,Fully Remote,United States,LARGE
2021,Entry-Level,Full-time,Data Engineer,80000,USD,80000,United States,Fully Remote,United States,LARGE
2021,Executive-Level,Full-time,Director of Data Science,250000,USD,250000,United States,No Remote Work,United States,LARGE
2021,Entry-Level,Full-time,BI Data Analyst,55000,USD,55000,United States,Partially Remote,United States,SMALL
2021,Mid-Level,Full-time,Data Architect,150000,USD,150000,United States,Fully Remote,United States,LARGE
2021,Mid-Level,Full-time,Data Architect,170000,USD,170000,United States,Fully Remote,United States,LARGE
2021,Mid-Level,Full-time,Data Engineer,60000,GBP,82528,United Kingdom,Fully Remote,United Kingdom,LARGE
2021,Entry-Level,Full-time,Data Analyst,60000,USD,60000,United States,Fully Remote,United States,SMALL
2021,Senior-Level,Full-time,Principal Data Scientist,235000,USD,235000,United States,Fully Remote,United States,LARGE
2021,Senior-Level,Full-time,Research Scientist,51400,EUR,60757,Portugal,Partially Remote,Portugal,LARGE
2021,Senior-Level,Full-time,Data Engineering Manager,174000,USD,174000,United States,Fully Remote,United States,LARGE
2021,Mid-Level,Full-time,Data Scientist,58000,MXN,2859,Mexico,No Remote Work,Mexico,SMALL
2021,Mid-Level,Full-time,Data Scientist,30400000,CLP,40038,Chile,Fully Remote,Chile,LARGE
2021,Entry-Level,Full-time,Machine Learning Engineer,81000,USD,81000,United States,Partially Remote,United States,SMALL
2021,Mid-Level,Full-time,Data Scientist,420000,INR,5679,India,Fully Remote,United States,SMALL
2021,Mid-Level,Full-time,Big Data Engineer,1672000,INR,22611,India,No Remote Work,India,LARGE
2021,Mid-Level,Full-time,Data Scientist,76760,EUR,90734,Germany,Partially Remote,Germany,LARGE
2021,Mid-Level,Full-time,Data Engineer,22000,EUR,26005,Romania,No Remote Work,United States,LARGE
2021,Senior-Level,Full-time,Finance Data Analyst,45000,GBP,61896,United Kingdom,Partially Remote,United Kingdom,LARGE
2021,Mid-Level,Freelance,Machine Learning Scientist,12000,USD,12000,Pakistan,Partially Remote,Pakistan,MEDIUM
2021,Mid-Level,Full-time,Data Engineer,4000,USD,4000,Iran,Fully Remote,Iran,MEDIUM
2021,Senior-Level,Full-time,Data Analytics Engineer,50000,USD,50000,Vietnam,Fully Remote,United Kingdom,MEDIUM
2021,Executive-Level,Full-time,Data Science Consultant,59000,EUR,69741,France,Fully Remote,Spain,SMALL
2021,Senior-Level,Full-time,Data Engineer,65000,EUR,76833,Romania,Partially Remote,United Kingdom,SMALL
2021,Mid-Level,Full-time,Machine Learning Engineer,74000,USD,74000,Japan,Partially Remote,Japan,SMALL
2021,Senior-Level,Full-time,Data Science Manager,152000,USD,152000,United States,Fully Remote,France,LARGE
2021,Entry-Level,Full-time,Machine Learning Engineer,21844,USD,21844,Colombia,Partially Remote,Colombia,MEDIUM
2021,Mid-Level,Full-time,Big Data Engineer,18000,USD,18000,Moldova,No Remote Work,Moldova,SMALL
2021,Senior-Level,Full-time,Data Science Manager,174000,USD,174000,United States,Fully Remote,United States,LARGE
2021,Senior-Level,Full-time,Research Scientist,120500,CAD,96113,Canada,Partially Remote,Canada,LARGE
2021,Mid-Level,Full-time,Data Scientist,147000,USD,147000,United States,Partially Remote,United States,LARGE
2021,Entry-Level,Full-time,BI Data Analyst,9272,USD,9272,Kenya,Fully Remote,Kenya,SMALL
2021,Senior-Level,Full-time,Machine Learning Engineer,1799997,INR,24342,India,Fully Remote,India,LARGE
2021,Senior-Level,Full-time,Data Science Manager,4000000,INR,54094,India,Partially Remote,United States,LARGE
2021,Entry-Level,Full-time,Data Science Consultant,90000,USD,90000,United States,Fully Remote,United States,SMALL
2021,Mid-Level,Full-time,Data Scientist,52000,EUR,61467,Germany,Partially Remote,Austria,MEDIUM
2021,Senior-Level,Full-time,Machine Learning Infrastructure Engineer,195000,USD,195000,United States,Fully Remote,United States,MEDIUM
2021,Mid-Level,Full-time,Data Scientist,32000,EUR,37825,Spain,Fully Remote,Spain,LARGE
